Uniprot Accession;Description;Gene name;IBAQ Amount in Ref2824 , fmol/ug yeast protein;Abundance Ratio: (S1) / (Ref2824);Abundance Ratio: (S2) / (Ref2824);Abundance Ratio: (S3) / (Ref2824);Abundance Ratio: (S4) / (Ref2824);Abundance Ratio: (S5) / (Ref2824);Abundance Ratio: (S6) / (Ref2824);Sequence Coverage [%];Identified Peptides;PSMs;Identified Unique Peptides;MW [kDa]
P32565;26S proteasome regulatory subunit RPN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN2 PE=1 SV=4;RPN2;7,88E+00;1,386;1,362;1,352;1,425;1,462;1,474;39;38;71;37;104,2
P39986;Manganese-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPF1 PE=1 SV=1;SPF1;8,39E-01;1,407;1,467;1,426;1,424;1,463;1,47;34;33;71;33;135,2
P05759;Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS31 PE=1 SV=3;RPS31;1,93E+02;0,675;0,739;0,615;0,792;0,799;0,784;45;6;70;2;17,2
P47079;T-complex protein 1 subunit theta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT8 PE=1 SV=1;CCT8;3,38E+00;1,707;1,77;1,698;2,018;2,005;1,993;57;28;70;28;61,6
P19414;Aconitate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO1 PE=1 SV=2;ACO1;1,17E+01;0,674;0,67;0,646;0,273;0,265;0,267;38;28;69;27;85,3
P39730;Eukaryotic translation initiation factor 5B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN12 PE=1 SV=2;FUN12;1,93E+00;1,078;1,111;1,083;1,329;1,355;1,333;31;26;68;26;112,2
P39692;Sulfite reductase [NADPH] flavoprotein component OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET10 PE=1 SV=2;MET10;2,70E+00;2,303;2,405;2,319;0,232;0,203;0,226;41;37;68;37;114,8
P15019;Transaldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAL1 PE=1 SV=4;TAL1;7,93E+01;1,223;1,238;1,176;0,96;1,081;1,097;56;17;68;16;37
P05737;60S ribosomal protein L7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL7A PE=1 SV=3;RPL7A;1,16E+02;1,078;1,047;1,091;1,323;1,236;1,239;44;10;67;1;27,6
P25384;Transposon Ty2-C Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY2B-C PE=3 SV=2;TY2B-C;;3,16;3,776;3,972;4,302;4,225;4,642;28;43;66;2;202
P25443;40S ribosomal protein S2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS2 PE=1 SV=3;RPS2;6,64E+01;0,926;0,906;0,873;1,135;1,019;1,043;57;12;66;12;27,4
P49089;Asparagine synthetase [glutamine-hydrolyzing] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASN1 PE=1 SV=2;ASN1;7,92E+00;1,77;1,713;1,719;2,013;1,947;1,875;45;21;66;16;64,4
P00958;Methionine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MES1 PE=1 SV=4;MES1;2,76E+00;1,349;1,364;1,399;1,496;1,456;1,474;50;34;66;34;85,6
P39935;Eukaryotic initiation factor 4F subunit p150 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF4631 PE=1 SV=2;TIF4631;4,72E+00;0,814;0,771;0,865;0,892;0,916;0,901;36;31;65;28;107
P23254;Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TKL1 PE=1 SV=4;TKL1;2,29E+01;0,944;0,987;0,942;0,886;0,877;0,901;34;21;64;19;73,8
Q12213;60S ribosomal protein L7-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL7B PE=1 SV=3;RPL7B;1,07E+02;0,854;0,825;0,968;0,873;0,826;0,863;44;10;64;1;27,7
P0C2J3;Transposon Ty2-LR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY2B-LR1 PE=3 SV=1;TY2B-LR1;;5,059;2,946;3,058;4,109;3,699;2,512;27;43;64;2;202
P22147;5'-3' exoribonuclease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=XRN1 PE=1 SV=1;XRN1;7,86E-01;0,951;0,95;0,956;1,125;1,12;1,134;27;39;64;39;175,4
P04050;DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO21 PE=1 SV=2;RPO21;1,03E+00;1,227;1,226;1,238;1,433;1,39;1,442;29;41;63;40;191,5
Q03494;Transposon Ty2-DR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY2B-DR2 PE=3 SV=2;TY2B-DR2;;5,479;4,005;4,506;5,591;6,164;4,821;27;42;63;2;202
Q12122;Homocitrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS21 PE=1 SV=1;LYS21;4,17E+01;1,16;1,06;1,18;0,266;0,267;0,266;53;20;63;6;48,6
P49723;Ribonucleoside-diphosphate reductase small chain 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR4 PE=1 SV=1;RNR4;1,33E+01;3,039;2,834;2,724;2,529;2,445;2,562;36;12;63;12;40
P34730;Protein BMH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH2 PE=1 SV=3;BMH2;2,11E+01;1,292;1,208;1,336;1,347;1,363;1,321;52;13;63;3;31
P48570;Homocitrate synthase, cytosolic isozyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS20 PE=1 SV=1;LYS20;3,94E+01;1,504;1,412;1,536;0,192;0,186;0,182;57;20;62;6;47,1
P06103;Eukaryotic translation initiation factor 3 subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRT1 PE=1 SV=1;PRT1;1,77E+00;1,252;1,291;1,229;1,563;1,542;1,558;38;27;62;27;88,1
P00942;Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2;TPI1;3,05E+02;1,267;1,194;1,15;1,164;1,14;1,139;45;9;62;9;26,8
P38011;Guanine nucleotide-binding protein subunit beta-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASC1 PE=1 SV=4;ASC1;1,34E+01;3,094;3,262;3,159;3,98;3,87;3,853;66;13;61;13;34,8
P06208;2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU4 PE=1 SV=1;LEU4;9,25E+00;1,16;1,163;1,133;0,471;0,471;0,482;48;26;61;14;68,4
P00927;Threonine dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV1 PE=1 SV=2;ILV1;2,81E+00;1,615;1,593;1,635;1,242;1,166;1,181;62;27;61;27;63,8
P40989;1,3-beta-glucan synthase component GSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSC2 PE=1 SV=2;GSC2;1,96E+00;0,477;0,524;0,507;0,862;0,994;0,894;22;33;61;16;216,9
P27616;Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE1 PE=1 SV=2;ADE1;2,68E+01;1,075;1,087;1,067;1,349;1,332;1,272;69;19;61;19;34,6
P04046;Amidophosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE4 PE=1 SV=2;ADE4;1,78E+00;2,039;2,107;2,037;2,287;2,261;2,28;45;21;61;21;56,7
P38788;Ribosome-associated complex subunit SSZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSZ1 PE=1 SV=2;SSZ1;1,67E+01;1,799;1,879;1,733;2,013;1,989;1,983;53;22;60;22;58,2
P50095;Inosine-5'-monophosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMD3 PE=1 SV=1;IMD3;6,51E+00;1,33;1,386;1,387;1,561;1,491;1,496;44;16;60;4;56,5
P0CH09;Ubiquitin-60S ribosomal protein L40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL40B PE=1 SV=1;RPL40B;1,91E+02;0,88;0,941;0,859;0,973;0,955;0,934;41;5;60;1;14,5
P32582;Cystathionine beta-synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYS4 PE=1 SV=1;CYS4;1,49E+01;0,878;0,908;0,888;0,915;0,96;0,907;56;22;60;22;56
P08518;DNA-directed RNA polymerase II subunit RPB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB2 PE=1 SV=2;RPB2;6,65E-01;0,907;0,934;0,922;1,014;1,016;1,025;36;35;60;35;138,7
P00817;Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPP1 PE=1 SV=4;IPP1;1,33E+02;0,698;0,686;0,647;0,455;0,421;0,436;54;13;59;12;32,3
P21264;Phosphoribosylaminoimidazole carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE2 PE=1 SV=1;ADE2;5,49E+00;1,307;1,385;1,336;1,583;1,525;1,517;55;26;59;26;62,3
P23615;Transcription elongation factor SPT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT6 PE=1 SV=1;SPT6;6,84E-01;0,868;0,883;0,883;1,009;1,024;1,021;28;38;59;38;168,2
P38625;GMP synthase [glutamine-hydrolyzing] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUA1 PE=1 SV=4;GUA1;5,24E+00;1,303;1,371;1,354;1,609;1,548;1,558;49;23;59;23;58,4
P07342;Acetolactate synthase catalytic subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV2 PE=1 SV=1;ILV2;3,79E+00;1,706;1,684;1,701;0,876;0,802;0,803;43;23;59;23;74,9
P53622;Coatomer subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COP1 PE=1 SV=2;COP1;7,05E-01;0,983;0,99;1;1,122;1,115;1,131;38;36;59;36;135,5
P05739;60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6B PE=1 SV=4;RPL6B;1,78E+01;1,372;1,389;1,344;1,943;1,357;1,619;66;12;59;5;20
Q01217;Protein ARG5,6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG5,6 PE=1 SV=1;ARG5,6;3,55E+00;1,256;1,276;1,319;0,247;0,237;0,249;42;31;58;31;94,8
P38061;60S ribosomal protein L32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL32 PE=1 SV=1;RPL32;6,22E+01;0,886;0,817;0,811;1,144;0,923;0,939;52;8;57;8;14,8
P26785;60S ribosomal protein L16-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL16B PE=1 SV=3;RPL16B;1,02E+02;0,722;0,761;0,725;0,858;0,855;0,855;50;11;57;8;22,2
P40054;D-3-phosphoglycerate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SER3 PE=1 SV=1;SER3;4,31E+00;3,871;3,929;3,722;3,597;3,567;3,551;42;16;57;8;51,2
P50094;Inosine-5'-monophosphate dehydrogenase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMD4 PE=1 SV=1;IMD4;4,60E+00;2,011;2,027;1,945;3,769;3,401;3,374;47;18;57;9;56,4
P07251;ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP1 PE=1 SV=5;ATP1;2,19E+01;0,248;0,251;0,259;0,27;0,274;0,287;54;26;57;26;58,6
P00931;Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP5 PE=1 SV=1;TRP5;1,95E+00;3,048;3,034;2,969;1,609;1,516;1,544;51;28;56;28;76,6
P39976;D-2-hydroxyglutarate--pyruvate transhydrogenase DLD3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1;DLD3;4,53E+00;6,045;5,739;6,247;1,782;1,799;1,711;45;17;56;16;55,2
P32316;Acetyl-CoA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACH1 PE=1 SV=2;ACH1;1,14E+01;0,18;0,209;0,213;0,18;0,194;0,198;46;19;56;19;58,7
P54113;Bifunctional purine biosynthesis protein ADE16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE16 PE=1 SV=1;ADE16;1,17E+00;2,149;2,129;2,151;2,518;2,491;2,484;46;22;56;17;65,2
P04802;Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPS1 PE=1 SV=3;DPS1;4,05E+00;1,965;1,938;1,896;2,02;1,971;2,013;51;25;56;25;63,5
P40212;60S ribosomal protein L13-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13B PE=1 SV=1;RPL13B;1,64E+02;0,818;0,84;0,841;1,014;0,946;0,941;52;9;56;9;22,5
P41277;Glycerol-1-phosphate phosphohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPP1 PE=1 SV=3;GPP1;1,32E+01;1,662;1,83;1,687;1,609;1,701;1,758;59;13;56;8;27,9
P07170;Adenylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADK1 PE=1 SV=2;ADK1;6,57E+00;2,733;2,879;2,733;2,965;2,957;2,834;67;14;56;14;24,2
P38708;Putative proline--tRNA ligase YHR020W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR020W PE=1 SV=1;;1,36E+00;1,666;1,778;1,637;1,68;1,611;1,647;45;26;55;26;77,3
P40510;D-3-phosphoglycerate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SER33 PE=1 SV=1;SER33;2,68E+00;3,843;4,001;3,846;1,072;1,002;1,019;51;18;55;10;51,2
P40495;Homoisocitrate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS12 PE=1 SV=1;LYS12;6,97E+00;3,332;3,473;3,396;0,673;0,624;0,664;55;19;55;19;40
P38219;Obg-like ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLA1 PE=1 SV=1;OLA1;1,25E+01;1,493;1,498;1,458;1,55;1,539;1,569;58;19;55;19;44,1
P09624;Dihydrolipoyl dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LPD1 PE=1 SV=1;LPD1;1,76E+01;0,23;0,234;0,229;0,191;0,203;0,21;52;22;54;22;54
P0CX39;40S ribosomal protein S8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS8A PE=1 SV=1;RPS8A;4,97E+01;1,712;1,718;1,684;1,898;1,929;1,886;45;7;54;7;22,5
P38205;Multisite-specific tRNA:(cytosine-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCL1 PE=1 SV=1;NCL1;1,46E+00;1,124;1,142;1,145;1,378;1,419;1,401;53;29;54;29;77,8
P39522;Dihydroxy-acid dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV3 PE=1 SV=2;ILV3;5,72E+00;1,792;1,846;1,729;0,83;0,795;0,792;47;19;54;19;62,8
P19524;Myosin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MYO2 PE=1 SV=1;MYO2;8,13E-01;1,033;1,052;1,059;1,131;1,19;1,175;34;44;54;40;180,6
P53852;Cysteine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL247W PE=1 SV=1;;1,34E+00;1,422;1,418;1,402;1,508;1,53;1,545;45;31;53;31;87,5
P26783;40S ribosomal protein S5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS5 PE=1 SV=3;RPS5;1,32E+02;1,064;1,15;1,144;1,257;1,277;1,306;46;10;53;10;25
P49090;Asparagine synthetase [glutamine-hydrolyzing] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASN2 PE=1 SV=2;ASN2;7,04E+00;1,397;1,361;1,349;1,372;1,392;1,396;43;19;53;14;64,6
P26321;60S ribosomal protein L5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL5 PE=1 SV=4;RPL5;2,93E+01;1,572;1,587;1,569;1,916;1,736;1,77;45;10;53;10;33,7
P39533;Homocitrate dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO2 PE=1 SV=1;ACO2;2,60E+00;2,399;2,443;2,394;0,515;0,457;0,474;41;25;53;24;86,5
P38999;Saccharopine dehydrogenase [NADP(+), L-glutamate-forming] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS9 PE=1 SV=1;LYS9;7,11E+00;2,073;2,155;2,07;0,47;0,441;0,461;55;20;53;20;48,9
P07280;40S ribosomal protein S19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS19A PE=1 SV=2;RPS19A;1,96E+02;1,897;1,832;1,804;2,333;2,118;2,135;62;8;53;8;15,9
Q03195;Translation initiation factor RLI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RLI1 PE=1 SV=1;RLI1;5,64E+00;0,905;0,955;0,895;1,04;1,062;1,043;39;23;53;23;68,3
P32454;Aminopeptidase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE2 PE=1 SV=4;APE2;2,43E+00;0,582;0,576;0,57;0,615;0,635;0,642;36;30;52;27;107,7
P38764;26S proteasome regulatory subunit RPN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN1 PE=1 SV=3;RPN1;1,43E+00;1,972;1,935;1,931;2,012;1,993;1,963;32;27;52;27;109,4
P25087;Sterol 24-C-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG6 PE=1 SV=4;ERG6;1,02E+01;0,896;0,964;0,948;0,877;0,988;0,914;47;16;52;16;43,4
Q08409;ATP-dependent permease AUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AUS1 PE=3 SV=1;AUS1;;15,262;16,048;14,854;13,44;14,813;14,286;20;24;52;21;157,7
P25655;General negative regulator of transcription subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC39 PE=1 SV=3;CDC39;3,36E+00;0,675;0,67;0,664;0,721;0,743;0,755;20;39;52;38;240,1
P32497;Eukaryotic translation initiation factor 3 subunit C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIP1 PE=1 SV=2;NIP1;5,65E+00;0,957;0,987;0,924;1,136;1,076;1,186;29;24;52;24;93,1
P28274;CTP synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA7 PE=1 SV=2;URA7;3,02E+00;1,009;1,052;0,996;1,401;1,35;1,338;51;25;51;21;64,7
P21576;Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS1 PE=1 SV=2;VPS1;5,96E+00;0,93;0,964;0,947;1,084;1,132;1,155;34;25;51;23;78,7
P42945;U3 small nucleolar RNA-associated protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP10 PE=1 SV=1;UTP10;6,08E-01;0,729;0,746;0,753;0,801;0,826;0,823;22;36;51;36;200
P34216;EH domain-containing and endocytosis protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EDE1 PE=1 SV=2;EDE1;1,35E-01;2,435;2,401;2,454;2,467;2,603;2,642;31;32;51;32;150,7
P47120;Deoxyhypusine hydroxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LIA1 PE=1 SV=1;LIA1;2,75E+00;5,318;5,267;4,896;5,606;5,824;5,448;50;13;51;13;36,1
P39683;Nicotinate phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPT1 PE=1 SV=3;NPT1;1,63E+00;1,391;1,414;1,397;1,448;1,499;1,511;71;27;51;27;49
P38968;Protein transport protein SEC31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC31 PE=1 SV=3;SEC31;1,23E+00;1,729;1,726;1,672;1,696;1,684;1,741;29;28;50;28;138,6
P38707;Asparagine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED81 PE=1 SV=1;DED81;5,61E+00;0,963;0,993;0,965;0,978;0,958;0,976;41;19;50;19;62,2
P0C0W9;60S ribosomal protein L11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL11A PE=1 SV=2;RPL11A;5,51E+01;1,21;1,233;1,179;1,331;1,326;1,354;58;8;50;8;19,7
P05749;60S ribosomal protein L22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL22A PE=1 SV=3;RPL22A;1,20E+01;3,67;3,767;3,669;4,758;4,215;4,289;61;4;49;3;13,7
P00830;ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2;ATP2;3,46E+01;0,575;0,594;0,585;0,626;0,64;0,648;48;17;49;17;54,8
P36008;Elongation factor 1-gamma 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF4 PE=1 SV=1;TEF4;3,03E+01;1,088;1,092;1,053;1,246;1,205;1,219;37;14;49;13;46,5
Q04728;Arginine biosynthesis bifunctional protein ArgJ, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG7 PE=1 SV=1;ARG7;6,46E+00;2,3;2,241;2,24;0,754;0,709;0,727;55;22;49;22;47,8
P27692;Transcription elongation factor SPT5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT5 PE=1 SV=1;SPT5;3,15E-01;1,341;1,358;1,377;1,503;1,489;1,497;32;31;49;31;115,6
P48164;40S ribosomal protein S7-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS7B PE=1 SV=1;RPS7B;3,44E+01;5,374;5,596;5,438;6,402;6,094;6,371;58;11;49;6;21,6
P04840;Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POR1 PE=1 SV=4;POR1;1,78E+01;1,668;1,66;1,643;1,231;1,289;1,314;70;15;49;15;30,4
P39015;Suppressor protein STM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STM1 PE=1 SV=3;STM1;8,43E-01;2,605;2,688;2,549;2,827;2,762;2,782;53;11;49;11;30
P48415;COPII coat assembly protein SEC16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC16 PE=1 SV=2;SEC16;5,79E-02;1,893;1,88;1,974;2,27;2,357;2,354;21;34;49;34;241,5
Q02455;Protein MLP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MLP1 PE=1 SV=2;MLP1;1,01E-01;1,216;1,204;1,269;1,521;1,501;1,519;25;43;49;43;218,3
P38264;SRP-independent targeting protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO88 PE=1 SV=1;PHO88;8,75E-01;2,328;2,25;2,262;2,343;2,297;2,347;60;11;49;11;21,1
P31116;Homoserine dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOM6 PE=1 SV=1;HOM6;5,99E+00;2,249;2,307;2,262;1,731;1,708;1,73;47;14;49;14;38,5
P38737;Proteasome component ECM29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM29 PE=1 SV=1;ECM29;5,50E-01;0,802;0,788;0,817;0,858;0,86;0,869;22;38;49;38;210,3
P80210;Adenylosuccinate synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE12 PE=1 SV=3;ADE12;8,98E+00;1,736;1,709;1,719;1,206;1,21;1,258;51;18;48;18;48,2
P22138;DNA-directed RNA polymerase I subunit RPA135 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPA135 PE=1 SV=1;RPA135;5,98E-01;0,973;0,978;0,973;1,154;1,127;1,1;34;32;48;32;135,7
P42943;T-complex protein 1 subunit eta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT7 PE=1 SV=1;CCT7;3,64E+00;1,407;1,45;1,413;1,857;1,816;1,787;47;23;48;23;59,7
Q07878;Vacuolar protein sorting-associated protein 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS13 PE=1 SV=1;VPS13;9,26E-02;1,067;1,049;1,07;1,146;1,17;1,161;16;42;48;42;357,6
P05755;40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9B PE=1 SV=4;RPS9B;1,64E+02;0,995;1,022;0,975;1,14;1,123;1,12;53;11;48;11;22,3
P05756;40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS13 PE=1 SV=3;RPS13;2,22E+02;0,755;0,772;0,74;0,973;0,896;0,88;64;9;48;9;17
Q02326;60S ribosomal protein L6-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6A PE=1 SV=2;RPL6A;1,65E+01;1,476;1,515;1,482;1,693;1,64;1,621;63;11;48;4;19,9
Q03532;ATP-dependent RNA helicase HAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAS1 PE=1 SV=1;HAS1;2,15E+00;1,063;1,111;1,079;1,262;1,231;1,216;50;23;48;23;56,7
P0CX56;40S ribosomal protein S18-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS18B PE=1 SV=1;RPS18B;2,89E+02;0,987;1,004;0,924;1,062;1,082;1,091;68;10;48;10;17
P54838;Dihydroxyacetone kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAK1 PE=1 SV=1;DAK1;1,06E+01;0,471;0,463;0,463;0,5;0,515;0,518;47;22;47;22;62,2
P38934;Nuclear segregation protein BFR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BFR1 PE=1 SV=1;BFR1;3,67E+00;1,407;1,442;1,383;1,866;1,848;1,94;47;24;47;24;54,6
P07246;Alcohol dehydrogenase 3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH3 PE=1 SV=2;ADH3;4,89E+01;1,331;1,369;1,328;0,618;0,487;0,487;39;14;47;12;40,3
P15891;Actin-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ABP1 PE=1 SV=4;ABP1;6,87E-01;2,284;2,276;2,318;2,391;2,489;2,486;54;24;47;24;65,5
