Accession;Description;Coverage_%;Peptides;PSMs;Unique_Peptides;MW_kDa;Rich_1;Rich_2;Rich_3;Min_1;Min_2;Min_3
P39692;Sulfite reductase [NADPH] flavoprotein component OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET10 PE=1 SV=2;31;33;61;33;114,8;0,067;0,08;0,106;2,076;2,492;2,851
P10664;60S ribosomal protein L4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL4A PE=1 SV=4;48;15;61;1;39,1;1,675;1,628;1,446;1,389;1,501;0,976
P00817;Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPP1 PE=1 SV=4;54;17;60;16;32,3;0,425;0,43;0,391;0,788;0,789;0,741
P00815;Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS4 PE=1 SV=3;35;28;60;28;87,7;0,876;0,823;0,796;1,411;1,948;2,151
P02293;Histone H2B.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTB1 PE=1 SV=2;60;12;60;2;14,2;1,328;1,475;1,733;1,466;1,398;1,592
P22147;5'-3' exoribonuclease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=XRN1 PE=1 SV=1;25;38;60;38;175,4;1,34;1,367;1,055;0,995;0,974;0,917
Q12213;60S ribosomal protein L7-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL7B PE=1 SV=3;58;16;60;1;27,7;1,573;1,303;1,263;1,409;1,874;2,567
P05743;60S ribosomal protein L26-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL26A PE=1 SV=3;46;12;60;2;14,2;1,153;1,06;1,988;1,096;1,248;1,62
P05756;40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS13 PE=1 SV=3;50;8;59;8;17;1,469;1,457;1,258;1,323;1,178;0,989
P35691;Translationally-controlled tumor protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA19 PE=1 SV=1;49;12;59;12;18,7;0,888;0,883;0,772;0,781;0,667;0,512
P36008;Elongation factor 1-gamma 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF4 PE=1 SV=1;33;17;59;15;46,5;1,789;1,916;1,905;1,386;1,495;1,579
P38219;Obg-like ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLA1 PE=1 SV=1;62;27;59;27;44,1;1,902;1,909;1,515;1,754;1,593;1,404
P21576;Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS1 PE=1 SV=2;38;30;59;28;78,7;0,726;0,698;0,384;0,619;0,518;0,307
P38625;GMP synthase [glutamine-hydrolyzing] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUA1 PE=1 SV=4;45;25;59;25;58,4;1,613;1,662;1,657;1,388;1,303;1,707
Q12754;Ribosomal RNA-processing protein 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP12 PE=1 SV=1;22;27;58;27;137,4;1,065;1,052;0,722;0,973;0,761;0,448
P38934;Nuclear segregation protein BFR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BFR1 PE=1 SV=1;51;34;58;34;54,6;1,603;1,651;1,035;0,87;1,031;1,167
Q01217;Protein ARG5,6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG5,6 PE=1 SV=1;25;26;58;26;94,8;0,254;0,269;0,251;1,196;1,285;1,394
P38205;Multisite-specific tRNA:(cytosine-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCL1 PE=1 SV=1;50;32;58;32;77,8;1,26;1,229;0,994;1,174;1,01;0,925
P0CX38;40S ribosomal protein S6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS6B PE=1 SV=1;47;14;58;14;27;1,529;1,565;1,944;1,401;1,484;1,565
P40215;External NADH-ubiquinone oxidoreductase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDE1 PE=1 SV=1;38;25;58;24;62,7;0,952;0,899;0,745;0,67;0,559;0,525
P0CX41;60S ribosomal protein L23-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL23A PE=1 SV=1;61;10;58;10;14,5;1,648;1,631;2,687;1,51;1,791;2,231
P35194;U3 small nucleolar RNA-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP20 PE=1 SV=3;16;39;58;38;287,4;0,982;0,963;0,549;0,92;0,721;0,392
P32565;26S proteasome regulatory subunit RPN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN2 PE=1 SV=4;29;33;58;32;104,2;1,06;1,029;0,965;0,966;0,984;0,868
P38707;Asparagine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED81 PE=1 SV=1;41;22;57;22;62,2;0,979;0,948;0,836;0,965;0,841;0,699
Q03690;Clustered mitochondria protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CLU1 PE=1 SV=1;24;30;57;30;145,1;1,142;1,118;0,959;0,917;0,847;0,764
P49089;Asparagine synthetase [glutamine-hydrolyzing] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASN1 PE=1 SV=2;35;21;57;15;64,4;1,818;1,851;1,637;1,185;1,196;1,33
P25655;General negative regulator of transcription subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC39 PE=1 SV=3;17;40;57;40;240,1;0,756;0,76;0,503;0,758;0,603;0,309
P0CX82;60S ribosomal protein L19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL19A PE=1 SV=1;56;17;57;17;21,7;1,516;1,489;2,03;1,371;1,5;1,482
P23615;Transcription elongation factor SPT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT6 PE=1 SV=1;26;42;57;42;168,2;1,006;1,051;0,836;0,867;0,922;0,879
P04802;Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPS1 PE=1 SV=3;50;34;56;34;63,5;1,151;1,223;1,053;0,929;0,827;0,855
P10081;ATP-dependent RNA helicase eIF4A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF1 PE=1 SV=3;56;22;56;22;44,7;1,257;1,313;1,217;1,189;1,294;1,462
P38701;40S ribosomal protein S20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS20 PE=1 SV=3;69;13;56;13;13,9;2,652;2,638;2,597;2,237;2,675;2,947
P10659;S-adenosylmethionine synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM1 PE=1 SV=2;47;19;56;5;41,8;0,45;0,356;0,313;1,278;0,952;0,691
Q03195;Translation initiation factor RLI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RLI1 PE=1 SV=1;44;29;56;29;68,3;1,216;1,276;1,14;1,013;0,996;1,037
P60010;Actin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACT1 PE=1 SV=1;41;16;56;16;41,7;1,095;1,075;0,856;0,962;1,018;1,048
P11075;Protein transport protein SEC7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC7 PE=1 SV=2;16;35;55;35;226,7;0,966;0,968;0,64;0,832;0,657;0,389
P40989;1,3-beta-glucan synthase component GSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSC2 PE=1 SV=2;12;22;55;4;216,9;0,117;0,109;0,097;0,071;0,065;0,047
P22515;Ubiquitin-activating enzyme E1 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBA1 PE=1 SV=2;25;28;55;28;114,2;1,267;1,255;1,128;1,201;1,182;1,197
P0CX44;60S ribosomal protein L1-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL1B PE=1 SV=1;49;15;55;15;24,5;2,063;2,1;2,172;1,89;1,983;1,789
P0CX23;60S ribosomal protein L20-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL20A PE=1 SV=1;58;13;55;13;20,4;2,199;2,103;2,735;1,983;2,113;2,321
P00331;Alcohol dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH2 PE=1 SV=3;37;12;55;6;36,7;0,662;0,66;0,666;0,277;0,381;0,388
P53978;Elongation factor 3B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEF3 PE=1 SV=2;17;20;54;7;115,8;0,753;0,744;0,539;0,738;0,573;0,362
P27616;Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE1 PE=1 SV=2;58;22;54;22;34,6;1,069;1,026;0,385;0,697;0,561;0,292
P32481;Eukaryotic translation initiation factor 2 subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD11 PE=1 SV=1;46;22;54;22;57,8;1,585;1,654;1,563;1,289;1,306;1,519
P02294;Histone H2B.2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTB2 PE=1 SV=2;60;12;54;2;14,2;1,385;1,538;1,621;1,584;1,477;1,636
P38061;60S ribosomal protein L32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL32 PE=1 SV=1;61;12;53;12;14,8;1,646;1,659;2,884;1,553;1,819;2,151
P53622;Coatomer subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COP1 PE=1 SV=2;26;30;53;30;135,5;0,84;0,824;0,72;0,762;0,704;0,583
P00927;Threonine dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV1 PE=1 SV=2;59;28;53;28;63,8;1,041;1,555;0,985;1,198;1,286;1,968
P04147;Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAB1 PE=1 SV=4;38;27;53;27;64,3;1,773;1,775;1,84;1,459;1,786;1,956
P28274;CTP synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA7 PE=1 SV=2;38;22;53;19;64,7;1,403;1,394;1,178;1,099;1,005;0,946
P0C0W9;60S ribosomal protein L11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL11A PE=1 SV=2;48;12;52;12;19,7;1,975;1,948;2,775;1,727;2,292;3,165
P36105;60S ribosomal protein L14-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL14A PE=1 SV=1;53;12;52;2;15,2;1,271;1,272;1,636;1,354;1,232;1,241
P07702;L-2-aminoadipate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS2 PE=1 SV=2;27;38;52;38;155,2;0,5;0,569;0,497;2,125;2,024;1,8
O14455;60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36B PE=1 SV=3;57;8;52;2;11,1;4,844;5,768;6,687;4,456;4,795;6,386
P07244;Bifunctional purine biosynthetic protein ADE5,7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE5,7 PE=1 SV=1;30;22;52;22;86;1,232;1,27;0,971;1,128;1,116;1,29
P00890;Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT1 PE=1 SV=2;43;21;52;19;53,3;0,495;0,473;0,417;0,45;0,388;0,379
P05745;60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36A PE=1 SV=3;57;8;52;2;11,1;2,45;2,82;3,185;2,268;2,568;2,816
P23641;Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIR1 PE=1 SV=1;39;13;52;13;32,8;0,766;0,772;0,714;0,686;0,679;0,605
P38754;60S ribosomal protein L14-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL14B PE=1 SV=1;53;12;52;2;15,1;1,262;1,33;1,872;1,191;1,163;1,272
P05739;60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6B PE=1 SV=4;64;15;52;8;20;2,301;2,317;2,647;1,794;1,876;1,799
P0CX31;40S ribosomal protein S24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS24A PE=1 SV=1;72;15;51;15;15,3;1,856;1,859;2,626;1,65;2,11;2,444
P40024;ABC transporter ATP-binding protein ARB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARB1 PE=1 SV=1;43;25;51;25;68,3;1,741;1,84;1,627;1,474;1,708;1,928
P11412;Glucose-6-phosphate 1-dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZWF1 PE=1 SV=4;50;23;51;23;57,5;0,392;0,414;0,313;0,946;0,883;0,755
P42945;U3 small nucleolar RNA-associated protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP10 PE=1 SV=1;20;34;51;34;200;1,181;1,161;0,789;1,08;0,94;0,655
P16387;Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDA1 PE=1 SV=2;37;19;50;19;46,3;0,612;0,624;0,539;0,646;0,629;0,508
P38737;Proteasome component ECM29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM29 PE=1 SV=1;20;35;50;35;210,3;0,935;0,912;0,75;0,779;0,645;0,48
P12945;N-terminal acetyltransferase A complex subunit NAT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAT1 PE=1 SV=2;39;32;50;32;98,8;1,134;1,125;1,001;0,926;0,852;0,752
P48589;40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS12 PE=1 SV=1;66;9;50;9;15,5;1,76;1,636;1,371;1,657;1,341;0,881
P38788;Ribosome-associated complex subunit SSZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSZ1 PE=1 SV=2;30;19;50;19;58,2;1,279;1,195;0,658;1,161;1,092;0,789
P32527;Zuotin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZUO1 PE=1 SV=1;42;21;50;21;49;1,609;1,576;1,164;1,171;1,396;1,381
P54838;Dihydroxyacetone kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAK1 PE=1 SV=1;50;27;50;27;62,2;0,558;0,557;0,519;0,491;0,402;0,298
P16140;V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA2 PE=1 SV=2;44;22;49;22;57,7;1,094;1,056;0,709;1,08;1,332;1,421
P15180;Lysine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRS1 PE=1 SV=2;35;22;49;22;67,9;1,378;1,329;0,979;1,437;1,555;1,396
P22202;Heat shock protein SSA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA4 PE=1 SV=3;30;21;49;5;69,6;1,064;0,936;0,889;1,096;1,05;1,077
P33322;H/ACA ribonucleoprotein complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBF5 PE=1 SV=1;28;19;49;19;54,7;1,225;1,263;1,01;0,964;0,839;0,775
P07283;Phosphomannomutase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC53 PE=1 SV=1;67;20;49;20;29;1,089;1,054;0,583;0,905;0,711;0,44
Q05911;Adenylosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE13 PE=1 SV=1;40;21;49;21;54,5;1,099;1,107;0,897;1,021;0,874;0,641
P38431;Eukaryotic translation initiation factor 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF5 PE=1 SV=1;45;18;48;18;45,2;1,59;1,591;1,304;1,435;1,476;1,441
P29547;Elongation factor 1-gamma 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAM1 PE=1 SV=2;38;17;48;15;47,1;0,865;0,892;0,971;0,817;0,854;1,012
P41810;Coatomer subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC26 PE=1 SV=2;22;23;48;23;109;0,919;0,827;0,51;0,827;0,645;0,311
P39986;Manganese-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPF1 PE=1 SV=1;25;28;48;28;135,2;1,267;1,266;1,221;1,222;1,265;1,146
P33299;26S proteasome regulatory subunit 7 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT1 PE=1 SV=1;44;22;48;21;52;0,76;0,762;0,616;0,726;0,654;0,504
P0C0W1;40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS22A PE=1 SV=2;74;9;47;9;14,6;1,23;1,264;0,976;1,126;1,049;0,721
P0CH09;Ubiquitin-60S ribosomal protein L40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL40B PE=1 SV=1;45;7;47;2;14,5;0,932;0,924;1,611;0,853;0,876;1,02
P24280;SEC14 cytosolic factor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC14 PE=1 SV=3;74;22;47;21;34,9;0,764;0,726;0,605;0,708;0,635;0,414
Q03280;E3 ubiquitin-protein ligase TOM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM1 PE=1 SV=1;10;31;47;31;373,9;0,726;0,711;0,516;0,691;0,606;0,438
P52910;Acetyl-coenzyme A synthetase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACS2 PE=1 SV=1;26;22;47;21;75,4;0,971;0,996;0,805;1,065;1,039;0,883
P09440;C-1-tetrahydrofolate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIS1 PE=1 SV=1;29;30;47;25;106,2;1,418;1,465;1,349;1,258;1,331;1,395
P46367;Potassium-activated aldehyde dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD4 PE=1 SV=2;35;19;47;17;56,7;0,158;0,149;0,16;0,111;0,106;0,107
P89105;RNA polymerase-associated protein CTR9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTR9 PE=1 SV=3;21;28;47;28;124,6;0,801;0,814;0,543;0,75;0,617;0,4
P32454;Aminopeptidase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE2 PE=1 SV=4;25;27;47;24;107,7;0,535;0,539;0,441;0,475;0,438;0,409
Q12118;Small glutamine-rich tetratricopeptide repeat-containing protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SGT2 PE=1 SV=1;51;14;46;14;37,2;0,772;0,607;0,843;0,713;0,594;0,706
P38708;Putative proline--tRNA ligase YHR020W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR020W PE=1 SV=1;29;23;46;23;77,3;1,469;1,443;1,195;1,487;1,484;1,361
Q02892;Nucleolar GTP-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOG1 PE=1 SV=1;38;26;46;26;74,4;1,42;1,447;1,172;1,278;1,23;1,005
P47079;T-complex protein 1 subunit theta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT8 PE=1 SV=1;34;18;46;18;61,6;1,649;1,699;1,601;1,405;1,429;1,397
Q12166;2-isopropylmalate synthase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU9 PE=1 SV=1;28;18;46;7;67,2;1,896;2,085;1,907;1,799;2,433;2,938
P0CX39;40S ribosomal protein S8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS8A PE=1 SV=1;50;10;45;10;22,5;1,865;1,842;3,347;1,727;2,197;2,958
P0CX29;40S ribosomal protein S23-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS23A PE=1 SV=1;30;8;45;8;16;1,286;1,257;2,415;1,223;1,376;1,595
P12612;T-complex protein 1 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCP1 PE=1 SV=2;33;18;45;18;60,4;0,936;0,893;0,853;0,876;0,698;0,591
Q02326;60S ribosomal protein L6-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6A PE=1 SV=2;55;13;45;6;19,9;2,088;2,063;2,685;2,032;2,072;2,055
Q04373;Pumilio homology domain family member 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUF6 PE=1 SV=1;31;23;45;23;75,1;1,141;1,125;0,592;0,971;0,746;0,343
P21264;Phosphoribosylaminoimidazole carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE2 PE=1 SV=1;33;20;45;20;62,3;1,087;1,065;0,86;0,967;0,938;0,813
P25087;Sterol 24-C-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG6 PE=1 SV=4;46;19;45;19;43,4;0,698;0,668;0,553;0,501;0,485;0,525
P39522;Dihydroxy-acid dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV3 PE=1 SV=2;27;17;45;17;62,8;0,471;0,404;0,609;1,246;1,131;1,485
P26321;60S ribosomal protein L5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL5 PE=1 SV=4;48;14;44;14;33,7;2,13;2,166;1,391;1,861;2,12;2,06
P04046;Amidophosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE4 PE=1 SV=2;35;21;44;21;56,7;1,796;1,754;2,849;1,752;1,878;2,502
P24783;ATP-dependent RNA helicase DBP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP2 PE=1 SV=1;33;18;44;17;61;1,437;1,476;1,919;1,234;1,492;1,794
P07263;Histidine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTS1 PE=1 SV=2;36;24;44;24;59,9;0,934;0,992;1,032;1,21;1,271;1,275
Q03558;NADPH dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OYE2 PE=1 SV=3;50;20;44;18;45;0,641;0,605;0,705;0,534;0,537;0,541
Q08965;Ribosome biogenesis protein BMS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMS1 PE=1 SV=1;22;24;44;24;135,5;1,489;1,469;1,439;1,319;1,194;0,951
P09435;Heat shock protein SSA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA3 PE=1 SV=3;23;18;44;3;70,5;1,16;1,085;1,277;1,544;1,192;1,114
P07256;Cytochrome b-c1 complex subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COR1 PE=1 SV=1;39;19;44;19;50,2;0,675;0,717;0,726;0,618;0,696;0,925
P05374;Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHO2 PE=1 SV=1;24;24;44;22;101,1;1,062;1,087;0,884;0,904;0,802;0,545
P48164;40S ribosomal protein S7-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS7B PE=1 SV=1;63;16;44;8;21,6;2,826;3,159;3,418;2,598;3,067;3,874
P07284;Serine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SES1 PE=1 SV=2;43;23;43;23;53,3;1,273;1,215;1,132;1,076;0,961;0,861
Q12672;60S ribosomal protein L21-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL21B PE=1 SV=1;60;11;43;1;18,3;1,642;1,574;3,538;1,645;2,02;1,656
P32558;FACT complex subunit SPT16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT16 PE=1 SV=1;25;30;43;30;118,6;0,947;0,976;0,787;0,785;0,863;0,847
P26786;40S ribosomal protein S7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS7A PE=1 SV=4;41;12;43;4;21,6;2,677;2,736;3,327;2,238;2,842;3,341
P14120;60S ribosomal protein L30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL30 PE=1 SV=3;59;8;42;8;11,4;2,091;2,109;3,207;1,967;2,267;2,701
P30822;Exportin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CRM1 PE=1 SV=1;24;25;42;25;124;1,012;1,012;0,68;0,839;0,705;0,384
P30952;Malate synthase 1, glyoxysomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MLS1 PE=1 SV=1;32;22;42;18;62,8;0,372;0,39;0,351;0,278;0,309;0,338
P07342;Acetolactate synthase catalytic subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV2 PE=1 SV=1;37;22;42;22;74,9;0,692;0,78;0,704;1,317;1,883;2,431
P16120;Threonine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THR4 PE=1 SV=1;32;20;42;20;57,4;0,755;0,704;0,453;0,937;0,732;0,544
P34241;Nucleolar pre-ribosomal-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URB1 PE=1 SV=2;17;31;42;31;203,2;1,168;1,17;0,821;1,042;0,861;0,552
Q02753;60S ribosomal protein L21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL21A PE=1 SV=1;60;11;42;1;18,2;1,328;1,274;2,559;1,454;1,685;1,208
P53319;6-phosphogluconate dehydrogenase, decarboxylating 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GND2 PE=1 SV=1;27;13;42;4;53,9;0,744;0,752;0,738;1,036;0,89;0,741
P39533;Homocitrate dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO2 PE=1 SV=1;31;21;42;19;86,5;0,393;0,416;0,311;1,43;1,938;2,612
P32563;V-type proton ATPase subunit a, vacuolar isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPH1 PE=1 SV=3;22;21;42;21;95,5;0,92;0,917;0,788;1,022;0,875;0,72
P22138;DNA-directed RNA polymerase I subunit RPA135 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPA135 PE=1 SV=1;20;24;42;24;135,7;1,07;1,041;0,917;0,943;0,904;0,824
P37292;Serine hydroxymethyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM1 PE=1 SV=2;38;20;41;19;53,7;0,904;0,922;1,129;0,861;0,856;1,04
